sport,epreuve,classement,medaille,equipe,participant,resultats,note
Voile,Multicoques mixte,7,7,FIN,Akseli KESKINEN / Sinem KURTBAY,97,
Voile,Multicoques mixte,8,8,GER,Paul KOHLHOFF / Alica STUHLEMMER,100,
Voile,Multicoques mixte,9,9,BRA,Joao SIEMSEN / Marina ARNDT,115,
Voile,Multicoques mixte,10,10,SWE,Hanna JONSSON / Emil JARUDD,118,
Voile,Multicoques mixte,11,11,ESP,Andres BARRIO GARCIA / Tara PACHECO VAN RIJNSOEVER,113,
Voile,Multicoques mixte,12,12,DEN,Mathias BRUUN BORRESKOV / Natacha Violet SAOUMA-PEDERSEN,117,
Voile,Multicoques mixte,13,13,AUS,Brin LIDDELL / Rhiannan BROWN,121,
Voile,Multicoques mixte,14,14,CHN,Huicong MAI / Linlin CHEN,130,
Voile,Multicoques mixte,15,15,AUT,Tanja FRANK / Lukas HABERL,133,
Voile,Multicoques mixte,16,16,USA,David LIEBENBERG / Sarah NEWBERRY MOORE,141,
Voile,Multicoques mixte,17,17,JPN,Nishida CAPIGLIA OURA / Shibuki IITSUKA,160,
Voile,Multicoques mixte,18,18,TUR,Alican KAYNAR / Beste KAYNAKCI,172,
Voile,Multicoques mixte,19,19,BEL,Lucas CLAEYSSENS / Eline VERSTRAELEN,186,
Canoe-slalom,Kayak simple hommes,1,O,ITA,Giovanni DE GENNARO,88.22,
Canoe-slalom,Kayak simple hommes,2,A,FRA,Titouan CASTRYCK,88.42,
Canoe-slalom,Kayak simple hommes,3,B,ESP,Pau ECHANIZ,88.87,
Canoe-slalom,Kayak simple hommes,4,4,SUI,Martin DOUGOUD,89.44,
Canoe-slalom,Kayak simple hommes,5,5,GBR,Joseph CLARKE,89.82,
Canoe-slalom,Kayak simple hommes,6,6,SVK,Jakub GRIGAR,90.21,
Canoe-slalom,Kayak simple hommes,7,7,AUS,Timothy ANDERSON,90.90,
Canoe-slalom,Kayak simple hommes,8,8,CZE,Jiri PRSKAVEC,91.74,
Canoe-slalom,Kayak simple hommes,9,9,GER,Noah HEGGE,93.73,
Canoe-slalom,Kayak simple hommes,10,10,AUT,Felix OSCHMAUTZ,94.21,
Canoe-slalom,Kayak simple hommes,11,11,CHN,Xin QUAN,94.75,
Canoe-slalom,Kayak simple hommes,12,12,SWE,Isak OHRSTROM,147.39,
Canoe-slalom,Kayak simple hommes,13,13,POL,Mateusz POLACZYK,,
Canoe-slalom,Kayak simple hommes,14,14,JPN,Yuuki TANAKA,,
Canoe-slalom,Kayak simple hommes,15,15,IRL,Noel HENDRICK,,
Canoe-slalom,Kayak simple hommes,16,16,MAR,Mathis SOUDI,,
Canoe-slalom,Kayak simple hommes,17,17,TUN,Salim Ahmad JEMAI,,
Canoe-slalom,Kayak simple hommes,18,18,SLO,Peter KAUZER,,
Canoe-slalom,Kayak simple hommes,19,19,NZL,Finn BUTCHER,,
Canoe-slalom,Kayak simple hommes,20,20,BRA,Pedro DA SILVA,,
Canoe-slalom,Kayak simple hommes,21,21,CAN,Alex BALDONI,,
Canoe-slalom,Kayak simple hommes,22,22,SEN,Yves Marcel Victor BOURHIS,,
Canoe-slalom,Kayak simple hommes,23,23,TPE,Shao-Hsuan WU,,
Canoe-slalom,Kayak simple hommes,24,24,COM,Andy BARAT,,
Natation,Relais 4x100m 4 nages femmes,1,O,N/A,États-Unis d'Amérique,3:49.63,
Natation,Relais 4x100m 4 nages femmes,2,A,N/A,Australie,3:53.11,
Natation,Relais 4x100m 4 nages femmes,3,B,N/A,République populaire de Chine,3:53.23,
Natation,Relais 4x100m 4 nages femmes,4,4,N/A,Canada,3:53.91,
Natation,Relais 4x100m 4 nages femmes,5,5,N/A,Japon,3:56.17,
Natation,Relais 4x100m 4 nages femmes,6,6,N/A,France,3:56.29,
Natation,Relais 4x100m 4 nages femmes,7,7,N/A,Suède,3:56.92,
Natation,Relais 4x100m 4 nages femmes,8,8,N/A,Pays-Bas,3:59.52,
Natation,Relais 4x100m 4 nages femmes,9,9,N/A,Allemagne,,
Natation,Relais 4x100m 4 nages femmes,10,10,N/A,Grande-Bretagne,,
Natation,Relais 4x100m 4 nages femmes,11,11,N/A,Irlande,,
Natation,Relais 4x100m 4 nages femmes,12,12,N/A,Pologne,,
Natation,Relais 4x100m 4 nages femmes,13,13,N/A,"Hong Kong, Chine",,
Natation,Relais 4x100m 4 nages femmes,14,14,N/A,Singapour,,
Natation,Relais 4x100m 4 nages femmes,15,=15,N/A,Danemark,,
Natation,Relais 4x100m 4 nages femmes,16,=15,N/A,Italie,,
Tennis-de-table,Par equipes hommes,1,O,N/A,République populaire de Chine,,
Tennis-de-table,Par equipes hommes,2,A,N/A,Suède,,
Tennis-de-table,Par equipes hommes,3,B,N/A,France,,
Tennis-de-table,Par equipes hommes,4,4,N/A,Japon,,
Tennis-de-table,Par equipes hommes,5,=5,N/A,Brésil,,
Tennis-de-table,Par equipes hommes,6,=5,N/A,Allemagne,,
Tennis-de-table,Par equipes hommes,7,=5,N/A,République de Corée,,
Tennis-de-table,Par equipes hommes,8,=5,N/A,Chinese Taipei,,
Tennis-de-table,Par equipes hommes,9,=9,N/A,Australie,,
Tennis-de-table,Par equipes hommes,10,=9,N/A,Canada,,
Tennis-de-table,Par equipes hommes,11,=9,N/A,Croatie,,
Tennis-de-table,Par equipes hommes,12,=9,N/A,Danemark,,
Tennis-de-table,Par equipes hommes,13,=9,N/A,Égypte,,
Tennis-de-table,Par equipes hommes,14,=9,N/A,Inde,,
Tennis-de-table,Par equipes hommes,15,=9,N/A,Portugal,,
Tennis-de-table,Par equipes hommes,16,=9,N/A,Slovénie,,
Voile,Planche a voile hommes,1,O,ISR,Tom REUVENY,,
Voile,Planche a voile hommes,2,A,AUS,Grae MORRIS,,
Voile,Planche a voile hommes,3,B,NED,Luuc VAN OPZEELAND,,
Voile,Planche a voile hommes,4,4,NZL,Josh ARMIT,,
Voile,Planche a voile hommes,5,5,GBR,Sam SILLS,,
Voile,Planche a voile hommes,6,6,ITA,Nicolo RENNA,,
Voile,Planche a voile hommes,7,7,SUI,Elia COLOMBO,,
Voile,Planche a voile hommes,8,8,ARU,Ethan WESTERA,,
Voile,Planche a voile hommes,9,9,USA,Noah LYONS,,
Voile,Planche a voile hommes,10,10,POL,Pawel TARNOWSKI,,
Voile,Planche a voile hommes,11,11,ESP,Nacho BALTASAR SUMMERS,,
Voile,Planche a voile hommes,12,12,GER,Sebastian KÖRDEL,,
Voile,Planche a voile hommes,13,13,HKG,Yinghua CHENG,,
Voile,Planche a voile hommes,14,14,DEN,Johan BORNEMANN SOE,,
Voile,Planche a voile hommes,15,15,FRA,Nicolas GOYARD,,
Voile,Planche a voile hommes,16,16,BRA,Mateus ISAAC,,
Voile,Planche a voile hommes,17,17,LTU,Rytis JASIUNAS,,
Voile,Planche a voile hommes,18,18,JPN,Makoto TOMIZAWA,,
Voile,Planche a voile hommes,19,19,CHN,Jingye HUANG,,
Voile,Planche a voile hommes,20,20,FIN,Jakob EKLUND,,
Voile,Planche a voile hommes,21,21,ARG,Francisco Cruz SAUBIDET BIRKNER,,
Voile,Planche a voile hommes,22,22,GRE,Vyron KOKKALANIS,,
Voile,Planche a voile hommes,23,23,SVK,Robert KUBIN,,
Voile,Planche a voile hommes,24,24,ALG,Rami BOUDROUMA,,
Breaking,B boys,1,O,CAN,B-Boy Phil Wizard,,
Breaking,B boys,2,A,FRA,DANY,,
Breaking,B boys,3,B,USA,VICTOR,,
Breaking,B boys,4,4,JPN,Shigekix,,
Breaking,B boys,5,5,USA,JEFFRO,,
Breaking,B boys,6,6,NED,LEE,,
Breaking,B boys,7,7,NED,MENNO,,
Breaking,B boys,8,8,KAZ,AMIR,,
Breaking,B boys,9,9,UKR,KUZYA,,
Breaking,B boys,10,10,CHN,LITHE-ING,,
Breaking,B boys,11,11,KOR,HONGTEN,,
Breaking,B boys,12,12,TPE,QUAKE,,
Breaking,B boys,13,13,FRA,LAGAET,,
Breaking,B boys,14,14,JPN,HIRO10,,
Breaking,B boys,15,15,MAR,BILLY,,
Breaking,B boys,16,16,AUS,J ATTACK,,
Judo,70 kg f,1,O,CRO,Barbara MATIC,,
Judo,70 kg f,2,A,GER,Miriam BUTKEREIT,,
Judo,70 kg f,3,B,AUT,Michaela POLLERES,,
Judo,70 kg f,4,B,BEL,Gabriella WILLEMS,,
Judo,70 kg f,5,=5,ESP,Ai TSUNODA ROUSTANT,,
Judo,70 kg f,6,=5,NED,Sanne VAN DIJKE,,
Judo,70 kg f,7,=7,JPN,Saki NIIZOE,,
Judo,70 kg f,8,=7,FRA,Marie Eve GAHIE,,
Judo,70 kg f,9,=9,AUS,Aoife COUGHLAN,,
Judo,70 kg f,10,=9,BIH,Aleksandra SAMARDZIC,,
Judo,70 kg f,11,=9,GBR,Katie-Jemima YEATS-BROWN,,
Judo,70 kg f,12,=9,GRE,Elisavet TELTSIDOU,,
Judo,70 kg f,13,=9,ISR,Maya GOSHEN,,
Judo,70 kg f,14,=9,ITA,Kim POLLING,,
Judo,70 kg f,15,=9,SLO,Anka POGACNIK,,
Judo,70 kg f,16,=9,UZB,Gulnoza MATNIYAZOVA,,
Judo,70 kg f,17,=17,CHA,Demos MEMNELOUM,,
Judo,70 kg f,18,=17,DEN,Laerke OLSEN,,
Judo,70 kg f,19,=17,HUN,Szabina GERCSAK,,
Judo,70 kg f,20,=17,MAD,Aina Laura RASOANAIVO RAZAFY,,
Judo,70 kg f,21,=17,POR,Tais PINA,,
Judo,70 kg f,22,=17,PRK,Song Hui MUN,,
Judo,70 kg f,23,=17,PUR,Maria PEREZ DIAZ,,
Judo,70 kg f,24,=17,TUR,Fidan OGEL,,
Boxe,Poids super lourds plus de 92kg hommes,1,O,UZB,Bakhodir JALOLOV,,
Boxe,Poids super lourds plus de 92kg hommes,2,A,ESP,Ayoub GHADFA DRISSI EL AISSAOUI,,
Boxe,Poids super lourds plus de 92kg hommes,3,B,GER,Nelvie Raman TIAFACK,,
Boxe,Poids super lourds plus de 92kg hommes,4,B,FRA,Djamili-Dini ABOUDOU MOINDZE,,
Boxe,Poids super lourds plus de 92kg hommes,5,=5,AUS,Teremoana TEREMOANA,,
Boxe,Poids super lourds plus de 92kg hommes,6,=5,ARM,Davit CHALOYAN,,
Boxe,Poids super lourds plus de 92kg hommes,7,=5,ITA,Diego LENZI,,
Boxe,Poids super lourds plus de 92kg hommes,8,=5,ECU,Gerlon Gilmar CONGO CHALA,,
Boxe,Poids super lourds plus de 92kg hommes,9,=9,NOR,Omar SHIHA,,
Boxe,Poids super lourds plus de 92kg hommes,10,=9,KAZ,Kamshybek KUNKABAYEV,,
Boxe,Poids super lourds plus de 92kg hommes,11,=9,AZE,Mahammad ABDULLAYEV,,
Boxe,Poids super lourds plus de 92kg hommes,12,=9,ALG,Mourad KADI,,
Boxe,Poids super lourds plus de 92kg hommes,13,=9,UKR,Dmytro LOVCHYNSKYI,,
Boxe,Poids super lourds plus de 92kg hommes,14,=9,GBR,Delicious ORIE,,
Boxe,Poids super lourds plus de 92kg hommes,15,=9,USA,Joshua Timothy EDWARDS,,
Boxe,Poids super lourds plus de 92kg hommes,16,=9,BRA,Abner TEIXEIRA,,
Natation,100m nage libre femmes,1,O,SWE,Sarah SJÖSTRÖM,52.16,
Natation,100m nage libre femmes,2,A,USA,Torri HUSKE,52.29,
Natation,100m nage libre femmes,3,B,HKG,Siobhan Bernadette HAUGHEY,52.33,
Natation,100m nage libre femmes,4,4,AUS,Mollie O'CALLAGHAN,52.34,
Natation,100m nage libre femmes,5,5,AUS,Shayna JACK,52.72,
Natation,100m nage libre femmes,6,6,CHN,Junxuan YANG,52.82,
Natation,100m nage libre femmes,7,7,NED,Marrit STEENBERGEN,52.83,
Natation,100m nage libre femmes,8,8,USA,Gretchen WALSH,53.04,
Natation,100m nage libre femmes,9,9,CHN,Qingfeng WU,,
Natation,100m nage libre femmes,10,10,FRA,Marie WATTEL,,
Natation,100m nage libre femmes,11,11,GBR,Anna HOPKIN,,
Natation,100m nage libre femmes,12,12,SWE,Michelle COLEMAN,,
Natation,100m nage libre femmes,13,13,CZE,Barbora SEEMANOVA,,
Natation,100m nage libre femmes,14,14,SLO,Neza KLANCAR,,
Natation,100m nage libre femmes,15,15,PHI,Kayla SANCHEZ,,
Natation,100m nage libre femmes,16,16,FRA,Beryl GASTALDELLO,,
Natation,100m nage libre femmes,17,17,CAN,Margaret MAC NEIL,,
Natation,100m nage libre femmes,18,18,CYP,Kalia ANTONIOU,,
Natation,100m nage libre femmes,19,19,ISL,Snaefridur Sol JORUNNARDOTTIR,,
Natation,100m nage libre femmes,20,20,POL,Kornelia FIEDKIEWICZ,,
Natation,100m nage libre femmes,21,21,CRO,Jana PAVALIC,,
Natation,100m nage libre femmes,22,22,UGA,Gloria Anna MUZITO,,
Natation,100m nage libre femmes,23,23,CAY,Jillian CROOKS,,
Natation,100m nage libre femmes,24,24,ALG,Nesrine MEDJAHED,,
Natation,100m nage libre femmes,25,25,ZIM,Paige VAN DER WESTHUIZEN,,
Natation,100m nage libre femmes,26,26,GRN,Tilly COLLYMORE,,
Natation,100m nage libre femmes,27,27,BOT,Maxine EGNER,,
Natation,100m nage libre femmes,28,28,GUY,Aleka PERSAUD,,
Natation,100m nage libre femmes,29,29,SUD,Rana SAADELDIN,,
Lutte,Lutte greco romaine 97kg hommes,1,O,IRI,Mohammadhadi SARAVI,14,
Lutte,Lutte greco romaine 97kg hommes,2,A,ARM,Artur ALEKSANYAN,11,
Lutte,Lutte greco romaine 97kg hommes,3,B,CUB,Gabriel Alejandro ROSILLO KINDELAN,12,
Lutte,Lutte greco romaine 97kg hommes,4,B,KGZ,Uzur DZHUZUPBEKOV,9,
Lutte,Lutte greco romaine 97kg hommes,5,=5,UZB,Rustam ASSAKALOV,7,
Lutte,Lutte greco romaine 97kg hommes,6,=5,EGY,Mohamed GABR,7,
Lutte,Lutte greco romaine 97kg hommes,7,7,MIX,Abubakar KHASLAKHANAU,5,
Lutte,Lutte greco romaine 97kg hommes,8,8,FIN,Arvi Martin SAVOLAINEN,4,
Lutte,Lutte greco romaine 97kg hommes,9,9,USA,Josef Patrick RAU,2,
Lutte,Lutte greco romaine 97kg hommes,10,10,GER,Lucas Alexandros LAZOGIANIS,1,
Lutte,Lutte greco romaine 97kg hommes,11,11,HON,Kevin MEJIA CASTILLO,1,
Lutte,Lutte greco romaine 97kg hommes,12,12,KOR,Seungjun KIM,1,
Lutte,Lutte greco romaine 97kg hommes,13,13,LTU,Mindaugas VENCKAITIS,1,
Lutte,Lutte greco romaine 97kg hommes,14,14,SRB,Mihail KAJAIA,1,
Lutte,Lutte greco romaine 97kg hommes,15,15,GEO,Roberti KOBLIASHVILI,1,
Lutte,Lutte greco romaine 97kg hommes,16,16,ALG,Fadi ROUABAH,0,
Halterophilie,89kg hommes,1,O,BUL,Karlos May NASAR,404,
Halterophilie,89kg hommes,2,A,COL,Yeison LOPEZ,390,
Halterophilie,89kg hommes,3,B,ITA,Antonino PIZZOLATO,384,
Halterophilie,89kg hommes,4,4,MDA,Marin ROBU,383,
Halterophilie,89kg hommes,5,5,IRI,Mir Mostafa JAVADI ALIABADI,372,
Halterophilie,89kg hommes,6,6,KOR,Dongju YU,371,
Halterophilie,89kg hommes,7,7,ARM,Andranik KARAPETYAN,370,
Halterophilie,89kg hommes,8,8,VEN,Keydomar Giovanni VALLENILLA SANCHEZ,358,
Halterophilie,89kg hommes,9,9,FRA,Romain IMADOUCHENE,351,
Halterophilie,89kg hommes,10,10,AUS,Kyle BRUCE,330,
Halterophilie,89kg hommes,11,,EGY,Karim ABOKAHLA,N'a pas terminé,
Halterophilie,89kg hommes,12,,CAN,Boady Robert SANTAVY,N'a pas terminé,
Aviron,Quatre de couple hommes,1,O,N/A,Pays-Bas,5:42.00,
Aviron,Quatre de couple hommes,2,A,N/A,Italie,5:44.40,
Aviron,Quatre de couple hommes,3,B,N/A,Pologne,5:44.59,
Aviron,Quatre de couple hommes,4,4,N/A,Grande-Bretagne,5:46.51,
Aviron,Quatre de couple hommes,5,5,N/A,Allemagne,5:50.62,
Aviron,Quatre de couple hommes,6,6,N/A,Suisse,5:58.04,
Aviron,Quatre de couple hommes,7,7,N/A,Estonie,,
Aviron,Quatre de couple hommes,8,8,N/A,Norvège,,
Aviron,Quatre de couple hommes,9,9,N/A,Roumanie,,
Natation,1500m nage libre hommes,1,O,USA,Robert FINKE,14:30.67,
Natation,1500m nage libre hommes,2,A,ITA,Gregorio PALTRINIERI,14:34.55,
Natation,1500m nage libre hommes,3,B,IRL,Daniel WIFFEN,14:39.63,
Natation,1500m nage libre hommes,4,4,HUN,David BETLEHEM,14:40.91,
Natation,1500m nage libre hommes,5,5,TUR,Kuzey TUNCELLI,14:41.22,
Natation,1500m nage libre hommes,6,6,TUN,Ahmed JAOUADI,14:43.35,
Natation,1500m nage libre hommes,7,7,FRA,David AUBRY,14:44.66,
Natation,1500m nage libre hommes,8,8,FRA,Damien JOLY,14:52.61,
Natation,1500m nage libre hommes,9,9,CHN,Liwei FEI,,
Natation,1500m nage libre hommes,10,10,GER,Sven SCHWARZ,,
Natation,1500m nage libre hommes,11,11,HUN,Zalan SARKANY,,
Natation,1500m nage libre hommes,12,12,ITA,Luca DE TULLIO,,
Natation,1500m nage libre hommes,13,13,AUS,Samuel SHORT,,
Natation,1500m nage libre hommes,14,14,GER,Florian WELLBROCK,,
Natation,1500m nage libre hommes,15,15,GBR,Daniel JERVIS,,
Natation,1500m nage libre hommes,16,16,POL,Krzysztof Chmielewski,,
Natation,1500m nage libre hommes,17,17,SWE,Victor JOHANSSON,,
Natation,1500m nage libre hommes,18,18,USA,David JOHNSTON,,
Natation,1500m nage libre hommes,19,19,GRE,Dimitrios Markos,,
Natation,1500m nage libre hommes,20,20,NOR,Henrik CHRISTIANSEN,,
Natation,1500m nage libre hommes,21,21,VIE,Huy Hoang NGUYEN,,
Natation,1500m nage libre hommes,22,22,ESP,Carlos GARACH BENITO,,
Natation,1500m nage libre hommes,23,23,TUR,Emir Batur ALBAYRAK,,
Natation,1500m nage libre hommes,24,24,CUB,Rodolfo FALCON JR,,
Natation,1500m nage libre hommes,25,=25,EGY,Marwan ELKAMASH,,
Natation,1500m nage libre hommes,26,=25,ROU,Vlad Stefan STANCU,,
Natation,1500m nage libre hommes,27,=25,UKR,Mykhailo ROMANCHUK,,
Tennis-de-table,Double mixte,1,O,CHN,Chuqin WANG / Yingsha SUN,,
Tennis-de-table,Double mixte,2,A,PRK,Jong Sik RI / Kum Yong KIM,,
Tennis-de-table,Double mixte,3,B,KOR,Jonghoon LIM / SHIN Yu-bin,,
Tennis-de-table,Double mixte,4,4,HKG,Chun Ting WONG / Hoi Kem DOO,,
Tennis-de-table,Double mixte,5,=5,ESP,Alvaro ROBLES / Maria XIAO,,
Tennis-de-table,Double mixte,6,=5,ROU,Ovidiu IONESCU / Bernadette SZOCS,,
Tennis-de-table,Double mixte,7,=5,SWE,Kristian KARLSSON / Christina KAELLBERG,,
Tennis-de-table,Double mixte,8,=5,TPE,Yun Ju LIN / Szu-Yu CHEN,,
Tennis-de-table,Double mixte,9,=9,AUS,Nicholas LUM / Minhyung JEE,,
Tennis-de-table,Double mixte,10,=9,BRA,Vitor ISHIY / Bruna TAKAHASHI,,
Tennis-de-table,Double mixte,11,=9,CUB,Jorge CAMPOS / Daniela FONSECA,,
Tennis-de-table,Double mixte,12,=9,EGY,Omar ASSAR / Dina MESHREF,,
Tennis-de-table,Double mixte,13,=9,FRA,Alexis LEBRUN / Jia Nan YUAN,,
Tennis-de-table,Double mixte,14,=9,GER,Dang QIU / Nina MITTELHAM,,
Tennis-de-table,Double mixte,15,=9,HUN,Nandor ECSEKI / Dora MADARASZ,,
Tennis-de-table,Double mixte,16,=9,JPN,Tomokazu Harimoto / Hina HAYATA,,
Athletisme,Lancer du disque femmes,1,O,USA,Valarie ALLMAN,69.50,
Athletisme,Lancer du disque femmes,2,A,CHN,Bin FENG,67.51,
Athletisme,Lancer du disque femmes,3,B,CRO,Sandra PERKOVIC,67.51,
Athletisme,Lancer du disque femmes,4,4,GER,Marike STEINACKER,65.37,
Athletisme,Lancer du disque femmes,5,5,SWE,Vanessa KAMGA,65.05,
Athletisme,Lancer du disque femmes,6,6,GER,Claudine VITA,63.62,
Athletisme,Lancer du disque femmes,7,7,NED,Jorinde VAN KLINKEN,63.35,
Athletisme,Lancer du disque femmes,8,8,ITA,Daisy OSAKUE,63.11,
Athletisme,Lancer du disque femmes,9,9,POR,Irina RODRIGUES,61.19,
Athletisme,Lancer du disque femmes,10,10,GER,Kristin PUDENZ,60.38,
Athletisme,Lancer du disque femmes,11,11,MDA,Alexandra EMILIANOV,58.08,
Athletisme,Lancer du disque femmes,12,12,FRA,Melina ROBERT MICHON,57.03,
Athletisme,Lancer du disque femmes,13,,NGR,Obiageri Pamela AMAECHI,,
Athletisme,Lancer du disque femmes,14,,NED,Alida VAN DAALEN,,
Athletisme,Lancer du disque femmes,15,,THA,Subenrat INSAENG,,
Athletisme,Lancer du disque femmes,16,,BRA,Andressa DE MORAIS,,
Athletisme,Lancer du disque femmes,17,,CHN,Zhichao JIANG,,
Athletisme,Lancer du disque femmes,18,,DEN,Lisa Brix PEDERSEN,,
Athletisme,Lancer du disque femmes,19,,USA,Veronica FRALEY,,
Athletisme,Lancer du disque femmes,20,,AUS,Taryn GOLLSHEWSKY,,
Athletisme,Lancer du disque femmes,21,,BRA,Izabela DA SILVA,,
Athletisme,Lancer du disque femmes,22,,LTU,Ieva GUMBS,,
Athletisme,Lancer du disque femmes,23,,CUB,Melany del Pilar MATHEUS,,
Athletisme,Lancer du disque femmes,24,,USA,Jayden ULRICH,,
Athletisme,Lancer du disque femmes,25,,POL,Daria ZABAWSKA,,
Athletisme,Lancer du disque femmes,26,,JAM,Samantha HALL,,
Athletisme,Lancer du disque femmes,27,,CUB,Silinda MORALES,,
Athletisme,Lancer du disque femmes,28,,SWE,Caisa-Marie LINDFORS,,
Athletisme,Lancer du disque femmes,29,,NGR,Chioma ONYEKWERE,,
Athletisme,Lancer du disque femmes,30,,NGR,Ashley ANUMBA,,
Athletisme,Lancer du disque femmes,31,,POR,Liliana CA,,
Athletisme,Lancer du disque femmes,32,,CRO,Marija TOLJ,,
Cyclisme-sur-piste,Sprint par equipes femmes,1,O,N/A,Grande-Bretagne,,
Cyclisme-sur-piste,Sprint par equipes femmes,2,A,N/A,Nouvelle-Zélande,,
Cyclisme-sur-piste,Sprint par equipes femmes,3,B,N/A,Allemagne,,
Cyclisme-sur-piste,Sprint par equipes femmes,4,4,N/A,Pays-Bas,,
Cyclisme-sur-piste,Sprint par equipes femmes,5,5,N/A,Mexique,,
Cyclisme-sur-piste,Sprint par equipes femmes,6,6,N/A,République populaire de Chine,,
Cyclisme-sur-piste,Sprint par equipes femmes,7,7,N/A,Pologne,47.175,
Cyclisme-sur-piste,Sprint par equipes femmes,8,8,N/A,Canada,47.631,
Football,Femme,1,O,N/A,États-Unis d'Amérique,,
Football,Femme,2,A,N/A,Brésil,,
Football,Femme,3,B,N/A,Allemagne,,
Football,Femme,4,4,N/A,Espagne,,
Football,Femme,5,5,N/A,Japon,,
Football,Femme,6,6,N/A,France,,
Football,Femme,7,7,N/A,Canada,,
Football,Femme,8,8,N/A,Colombie,,
Football,Femme,9,9,N/A,Australie,,
Football,Femme,10,10,N/A,Nouvelle-Zélande,,
Football,Femme,11,11,N/A,Nigéria,,
Football,Femme,12,12,N/A,Zambie,,
Judo,81kg h,1,O,JPN,Takanori NAGASE,,
Judo,81kg h,2,A,GEO,Tato GRIGALASHVILI,,
Judo,81kg h,3,B,KOR,Joonhwan LEE,,
Judo,81kg h,4,B,TJK,Somon MAKHMADBEKOV,,
Judo,81kg h,5,=5,BEL,Matthias CASSE,,
Judo,81kg h,6,=5,ITA,Antonio ESPOSITO,,
Judo,81kg h,7,=7,CAN,Francois GAUTHIER DRAPEAU,,
Judo,81kg h,8,=7,UZB,Sharofiddin BOLTABOEV,,
Judo,81kg h,9,=9,AUT,Wachid BORCHASHVILI,,
Judo,81kg h,10,=9,BRA,Guilherme SCHIMIDT,,
Judo,81kg h,11,=9,FRA,Alpha Oumar DJALO,,
Judo,81kg h,12,=9,HUN,Attila UNGVARI,,
Judo,81kg h,13,=9,ISR,Sagi MUKI,,
Judo,81kg h,14,=9,NED,Frank DE WIT,,
Judo,81kg h,15,=9,PUR,Adrian GANDIA,,
Judo,81kg h,16,=9,TUR,Vedat ALBAYRAK,,
Judo,81kg h,17,=17,AZE,Zelim TCKAEV,,
Judo,81kg h,18,=17,BEN,Valentin HOUINATO,,
Judo,81kg h,19,=17,BRN,Askerbii GERBEKOV,,
Judo,81kg h,20,=17,XXB,Sibghatullah ARAB,,
Judo,81kg h,21,=17,GER,Timo CAVELIUS,,
Judo,81kg h,22,=17,KAZ,Abylaikhan ZHUBANAZAR,,
Judo,81kg h,23,=17,MAR,Achraf MOUTII,,
Judo,81kg h,24,=17,MDA,Mihail LATISEV,,
Judo,81kg h,25,=17,MKD,Edi SHERIFOVSKI,,
Judo,81kg h,26,=17,PLE,Fares BADAWI,,
Judo,81kg h,27,=17,POR,Joao FERNANDO,,
Judo,81kg h,28,=17,UAE,Nugzar TATALASHVILI,,
Judo,81kg h,29,=17,URU,Alain APRAHAMIAN,,
Judo,81kg h,30,=17,VAN,Hugo CUMBO,,
Judo,81kg h,31,33,EGY,Abdelrahman MOHAMED,,
Judo,81kg h,32,,AFG,Mohammad Samim FAIZAD,,
Judo,81kg h,33,,IRQ,Sajjad SEHEN,,
Handball,Femme,1,O,N/A,Norvège,,
Handball,Femme,2,A,N/A,France,,
Handball,Femme,3,B,N/A,Danemark,,
Handball,Femme,4,4,N/A,Suède,,
Handball,Femme,5,5,N/A,Pays-Bas,,
Handball,Femme,6,6,N/A,Hongrie,,
Handball,Femme,7,7,N/A,Brésil,,
Handball,Femme,8,8,N/A,Allemagne,,
Handball,Femme,9,9,N/A,Angola,,
Handball,Femme,10,10,N/A,République de Corée,,
Handball,Femme,11,11,N/A,Slovénie,,
Handball,Femme,12,12,N/A,Espagne,,
Equitation,Saut d obstacles individuel,1,O,N/A,Allemagne,0,
Equitation,Saut d obstacles individuel,2,A,N/A,Suisse,0,
Equitation,Saut d obstacles individuel,3,B,N/A,Pays-Bas,0,
Equitation,Saut d obstacles individuel,4,4,N/A,France,4,
Equitation,Saut d obstacles individuel,5,5,N/A,Brésil,4,
Equitation,Saut d obstacles individuel,6,6,N/A,Grande-Bretagne,4,
Equitation,Saut d obstacles individuel,7,7,N/A,Autriche,4,
Equitation,Saut d obstacles individuel,8,8,N/A,États-Unis d'Amérique,4,
Equitation,Saut d obstacles individuel,9,9,N/A,Grande-Bretagne,4,
Equitation,Saut d obstacles individuel,10,10,N/A,Suisse,4,
Equitation,Saut d obstacles individuel,11,11,N/A,Arabie saoudite,4,
Equitation,Saut d obstacles individuel,12,12,N/A,Allemagne,5,
Equitation,Saut d obstacles individuel,13,13,N/A,Arabie saoudite,6,
Equitation,Saut d obstacles individuel,14,14,N/A,Pays-Bas,6,
Equitation,Saut d obstacles individuel,15,15,N/A,Belgique,8,
Equitation,Saut d obstacles individuel,16,16,N/A,États-Unis d'Amérique,8,
Equitation,Saut d obstacles individuel,17,17,N/A,France,8,
Equitation,Saut d obstacles individuel,18,18,N/A,Canada,8,
Equitation,Saut d obstacles individuel,19,19,N/A,Émirats arabes unis,8,
Equitation,Saut d obstacles individuel,20,20,N/A,Belgique,8,
Equitation,Saut d obstacles individuel,21,21,N/A,Italie,12,
Equitation,Saut d obstacles individuel,22,22,N/A,Irlande,12,
Equitation,Saut d obstacles individuel,23,23,N/A,Pays-Bas,12,
